mp-1001827, None
mp-1057125, None
mp-1057015, None
mp-1009551, None
mp-1009817, None
mp-1009648, None
mp-8062, trivial
mp-1057216, None
mp-685145, trivial
mp-2818, None
mp-1057286, trivial
mp-1008998, None
mp-213, TI
mp-1057273, None
mp-1009223, None
mp-16732, None
mp-1894, SM
mp-1007778, None
mp-2399, SM
mp-1002227, None
mp-639445, SM
mp-291, SM
mp-19736, SM
mp-1001836, TI
mp-141, SM
mp-1008752, None
mp-1104, None
mp-11452, TI
mp-1330, trivial
mp-1948, SM
mp-1102, trivial
mp-2017, None
mp-998899, None
mp-1009650, None
mp-117, SM
mp-22851, trivial
mp-994, trivial
mp-1009129, None
mp-1057758, None
mp-21263, SM
mp-1057787, None
mp-2696, SM
mp-20457, trivial
mp-1009746, None
mp-219, SM
mp-22879, SM
mp-1415, trivial
mp-183, TI
mp-1009017, None
mp-2756, SM
mp-1009583, None
mp-1009131, None
mp-22873, None
mp-2566, SM
mp-1057315, None
mp-1708, SM
mp-451, SM
mp-22704, SM
mp-12594, SM
mp-1018028, SM
mp-2642, SM
mp-1001913, None
mp-997618, None
mp-284, TI
mp-2283, SM
mp-1058331, None
mp-113, SM
mp-13496, SM
mp-1009639, None
mp-948, SM
mp-635471, SM
mp-1008999, None
mp-1002197, None
mp-22866, SM
mp-1479, trivial
mp-24084, trivial
mp-1009820, None
mp-744, None
mp-1009134, None
mp-1008832, None
mp-2615, SM
mp-1008965, None
mp-973835, None
mp-54, SM
mp-1315, trivial
mp-1785, TI
mp-1008924, None
mp-1058581, None
mp-1058315, None
mp-10622, TI
mp-2014, None
mp-1009646, None
mp-99, SM
mp-1056955, None
mp-1058623, trivial
mp-1556, TI
mp-23251, trivial
mp-20305, SM
mp-1008650, None
mp-2637, SM
mp-2525, TI
mp-2117, SM
mp-24721, trivial
mp-23193, trivial
mp-1156, SM
mp-1971, SM
mp-23870, trivial
mp-2795, TI
mp-1058887, None
mp-1009769, None
mp-10760, trivial
mp-1009814, None
mp-2857, trivial
mp-991439, SM
mp-1007770, None
mp-1056860, None
mp-1058944, None
mp-30746, TI
mp-1738, None
mp-2828, SM
mp-2627, None
mp-1008928, None
mp-1058689, None
mp-1009649, None
mp-1525, TI
mp-1009015, None
mp-1009135, None
mp-1672, trivial
mp-1009813, None
mp-1009732, None
mp-1008786, None
mp-1058853, TI
mp-1586, None
mp-991, SM
mp-1001837, None
mp-516, TI
mp-155, SM
mp-1008223, None
mp-1059264, None
mp-1009838, None
mp-1018042, None
mp-1018027, None
mp-883, SM
mp-712, SM
mp-88, SM
mp-1018145, None
mp-1001833, None
mp-1086, SM
mp-6988, SM
mp-1059357, None
mp-22906, trivial
mp-998900, None
mp-1059289, None
mp-1009885, None
mp-1009839, None
mp-237, SM
mp-112, SM
mp-1059462, None
mp-13034, None
mp-1008931, None
mp-2052, TI
mp-295, SM
mp-2474, SM
mp-1059259, None
mp-1550, trivial
mp-21009, SM
mp-1059552, None
mp-2746, SM
mp-2090, None
mp-94, TI
mp-20943, trivial
mp-11261, SM
mp-20736, SM
mp-21039, TI
mp-11541, TI
mp-1059621, None
mp-13035, None
mp-1059765, None
mp-1057084, None
mp-1009079, None
mp-2143, SM
mp-972, SM
mp-1006882, None
mp-1006880, None
mp-1059528, TI
mp-1058490, SM
mp-144, SM
mp-1018160, None
mp-1009767, None
mp-1459, SM
mp-1265, trivial
mp-143, SM
mp-104, TI
mp-1002188, None
mp-1058019, None
mp-1008986, None
mp-1009008, None
mp-1059907, None
mp-1009491, None
mp-1008926, None
mp-1002209, None
mp-1009757, None
mp-1018164, None
mp-13136, TI
mp-1001925, None
mp-715442, SM
mp-1121, SM
mp-2205, SM
mp-1018142, None
mp-1009747, None
mp-79, TI
mp-1008921, None
mp-1009222, None
mp-19275, None
mp-87, None
mp-2548, SM
mp-1056920, trivial
mp-1009007, None
mp-569593, None
mp-1009735, None
mp-1002230, None
mp-1008634, ERROR
mp-1058119, None
mp-1009894, None
mp-23285, SM
mp-1009752, None
mp-252, trivial
mp-1007776, None
mp-1912, SM
mp-1060143, None
mp-1001605, None
mp-1018155, None
mp-2534, trivial
mp-305, TI
mp-46, SM
mp-1059160, None
mp-1009490, None
mp-422, trivial
mp-1018157, None
mp-1009734, None
mp-1002181, None
mp-1164, SM
mp-2807, trivial
mp-776, SM
mp-20587, SM
mp-2605, trivial
mp-1009458, None
mp-1534, SM
mp-10044, trivial
mp-1057750, None
mp-10695, trivial
mp-830, None
mp-2490, trivial
mp-23703, trivial
mp-66, trivial
mp-82, SM
mp-820, SM
mp-21276, trivial
mp-1009766, None
mp-915, SM
mp-997617, None
mp-933, trivial
mp-13036, None
mp-2599, SM
mp-1018165, None
mp-1008661, None
mp-1002182, None
mp-1018029, None
mp-1018050, None
mp-1060680, None
mp-12981, None
mp-2350, SM
mp-1060567, None
mp-1700, None
mp-1009819, None
mp-2596, SM
mp-1002220, None
mp-16730, None
mp-1031, SM
mp-1009750, None
mp-215, trivial
mp-998897, None
mp-1008918, None
mp-1002105, None
mp-2602, SM
mp-11546, SM
mp-10020, None
mp-2210, SM
mp-938, trivial
mp-1058499, None
mp-631, SM
mp-682, trivial
mp-20012, SM
mp-2269, TI
mp-20411, None
mp-1057486, None
mp-20351, trivial
mp-910, SM
mp-1060982, None
mp-1018132, None
mp-1500, trivial
mp-1008912, None
mp-448, SM
mp-1061023, None
mp-1541, trivial
mp-1009489, None
mp-1008987, None
mp-646, SM
mp-1057437, None
mp-20773, None
mp-1009792, None
mp-1058549, None
mp-1009494, None
mp-1057979, None
mp-1002219, None
mp-348, SM
mp-33, SM
mp-2201, TI
mp-1061123, SM
mp-2114, trivial
mp-1060884, None
mp-1560, SM
mp-1352, SM
mp-567580, None
mp-251, SM
mp-406, trivial
mp-23171, TI
mp-1009217, None
mp-1009213, None
mp-1639, trivial
mp-1061054, TI
